A1	A2	B1	B2
1002	733	1003	868
258	165	221	201
0	0	0	0
224	233	218	181
620	576	467	472
24	12	8	8
24	12	8	8
19	26	21	25
6293	5524	4784	4710
673	496	332	310
727	580	753	541
674	579	732	565
990	925	858	730
462	322	431	375
507	452	534	372
239	208	294	180
3	26	8	10
0	0	0	0
10524	10105	9015	9100
167	154	134	127
0	0	0	0
0	0	0	0
2454	2298	2610	2292
2	0	3	1
79	75	88	49
1	0	2	3
29	27	18	18
0	0	0	0
6	2	13	8
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
77	84	60	61
257	229	236	261
0	0	1	1
4	0	0	0
0	0	0	1
2	0	0	1
1	0	0	0
1	0	2	0
2	0	0	0
0	0	0	0
9	11	11	2
0	0	2	3
1572	1330	1399	1143
0	2	2	0
4	2	7	2
0	0	0	0
2	0	0	1
0	0	0	0
678	641	579	602
330	314	367	269
0	4	0	0
0	0	0	0
0	3	1	2
8	3	1	0
0	0	0	0
1047	960	1281	963
106	119	148	88
1014	1077	793	898
1744	1565	1391	1227
477	472	376	353
47	54	66	67
13	3	9	9
524	519	536	618
20	26	4	5
4	4	2	4
47	31	25	24
1318	957	660	793
14	5	14	6
427	364	219	247
0	4	1	0
23	14	10	12
0	0	0	0
0	0	0	0
0	0	4	1
9243	7857	10592	7047
614	697	995	947
402	406	844	622
1939	1715	1560	1676
69	14	33	15
0	1	0	0
2	4	2	1
14134	12384	12081	11546
242	197	193	206
870	529	579	474
2	7	5	0
30	12	9	14
11	0	8	6
2	5	5	3
86	98	107	65
3146	2619	3352	2397
398	341	462	274
6	2	4	0
6	2	4	0
5474	5286	5402	4822
5549	5327	5424	4841
0	2	1	0
0	0	0	1
336	307	296	284
735	629	676	531
2593	2243	2650	1908
1085	784	906	703
278	234	229	202
798	791	675	711
4	4	1	0
761	609	728	534
301	333	428	333
0	0	1	0
133	150	98	141
199	175	177	160
2	6	3	3
0	0	0	1
0	0	0	0
0	0	0	1
0	0	1	0
0	0	0	0
8604	7651	7393	6789
5	17	9	5
420	311	384	291
1388	1189	1185	1129
108	101	135	95
1095	1009	1256	934
1077	702	774	675
0	1	0	0
24	7	14	6
2	5	3	4
5177	5129	5578	4193
673	565	660	588
5881	5633	5607	5342
472	422	331	315
5136	4784	4157	4179
5101	3997	5062	3680
1	0	1	1
16	15	11	8
14	21	11	5
1248	1206	944	1249
11	2	4	2
0	1	0	1
4	2	0	0
0	0	0	0
11	4	5	2
26317	21688	20035	21775
367	434	324	392
463	498	380	423
7703	6305	5833	6373
78	83	66	39
282	221	216	215
74	75	64	35
2077	1661	1775	1608
12	14	12	19
16	14	4	8
382	270	376	334
0	0	0	0
0	0	0	0
0	0	0	0
298	301	398	335
2	2	1	0
21865	18004	19630	19415
5236	3860	4997	4773
0	0	0	0
14	8	12	11
4	4	1	0
3	0	1	2
5976	5735	4906	4828
12	4	8	2
5	6	9	3
2292	1950	1839	1741
1482	948	1143	819
10	14	4	14
14	4	7	10
2190	2091	2497	1983
14	10	8	10
396	396	291	303
24	35	27	17
67	88	80	75
2	2	1	2
17	6	4	3
10	35	12	14
25205	23965	20190	21296
13	7	13	9
7	6	7	6
3	0	2	1
47	53	20	23
0	2	2	1
0	0	0	0
126	141	141	99
154	101	172	88
447	432	596	471
2112	2031	2362	2402
1140	1109	810	1048
172	142	125	116
0	0	0	0
0	0	0	0
0	0	0	0
508	417	322	394
0	0	0	0
16632	15039	14574	14472
7	9	11	10
4075	3727	3320	2983
32507	27552	31204	26379
299	385	687	857
9	2	7	3
545	489	749	616
0	3	2	1
632	552	557	559
41	26	35	28
623	600	656	578
0	3	3	5
197	166	200	192
518	460	438	374
9	0	5	3
10	16	6	9
2	0	0	1
2	1	0	0
15	5	0	1
0	0	0	0
0	0	0	0
0	0	0	0
972	681	986	925
6459	3702	5115	1896
114359	103321	94095	92808
661	593	765	559
162	112	149	75
870	685	874	671
310	377	395	286
1934	1847	1381	1568
621	593	663	574
9	3	0	1
19	2	10	17
460	422	648	541
4790	3945	4084	3455
0	2	1	3
24	19	11	15
231	187	313	267
5623	5427	5009	4516
76	75	66	88
712	551	703	495
48	30	86	52
0	0	0	0
323	239	368	337
282	253	278	251
693	606	645	541
325	305	417	355
0	0	0	0
56	72	89	67
551	593	374	418
4	2	3	1
2	0	3	2
6	4	2	6
467	326	548	378
814	653	596	787
1191	1110	1110	1223
72	88	83	64
10	4	17	4
0	0	1	0
0	2	1	0
14	32	16	12
0	0	0	0
262	126	222	200
0	1	0	0
988	931	979	809
3373	2872	3551	2892
0	0	2	0
0	0	2	1
1	2	0	0
170	123	115	131
610	468	651	477
1091	913	1146	841
0	0	0	1
11	2	6	0
12	13	13	8
379	411	460	345
25	19	7	13
23	31	28	30
12	2	11	8
1682	1655	1245	1169
120	130	127	137
10935	10832	11311	9180
358	302	532	344
145	146	139	153
838	694	929	595
2	0	3	0
30	26	20	8
630	488	566	588
61	42	31	53
3569	3435	3168	2810
10273	8026	9693	8091
218	304	229	255
3780	3194	3507	2942
1190	963	1157	1035
0	0	0	0
72	48	70	77
1449	1098	1527	993
1211	1097	1089	997
2845	2568	2020	2706
21	21	9	19
868	733	702	678
949	787	792	716
36	16	35	36
211	168	268	228
3682	3384	3215	3276
2428	2204	1987	1888
115	49	90	36
2	7	13	13
1977	1874	1517	1178
2047	1707	1938	1766
307	266	222	268
2447	2259	1805	1538
15	5	8	5
4	2	0	1
1062	862	1154	928
72	52	93	87
5	2	5	7
814	693	828	673
4	0	0	0
563	419	533	354
292	244	238	203
4963	4814	4564	3993
1289	937	1164	1116
4	8	9	14
943	864	819	663
10443	10598	10097	8453
8	8	9	15
207	187	191	174
38	30	18	68
16	3	5	5
0	0	0	0
0	0	1	0
31170	26972	26820	24408
7	2	7	7
470	479	514	552
2841	2524	2931	2300
880	788	747	524
57	54	111	96
0	0	0	0
108442	93304	110813	100414
