A1	A2	B1	B2
504	378	378	267
0	0	0	0
46	15	59	46
42	38	63	48
2042	1848	2124	2005
3035	2715	2825	2677
20	34	27	15
14	32	18	10
7307	6450	6194	5673
1960	1633	1567	1319
167	218	222	179
1636	1408	1407	1387
0	0	0	0
739	762	1036	796
0	2	0	0
2	0	0	1
0	0	0	0
154	120	183	168
2	0	2	0
0	0	0	0
0	0	0	2
0	0	0	0
9966	8692	8407	7761
1472	1234	1373	1227
0	2	2	0
2253	2003	1524	1823
502	308	330	237
69	48	52	34
9052	8300	7238	6416
268	246	306	250
8566	7888	6744	6012
268	224	257	221
1857	1452	1613	1483
453	392	617	474
0	0	0	0
2774	2439	2282	2817
622	424	323	453
1797	1861	1605	1664
0	0	0	1
0	0	1	0
0	0	2	0
3093	2991	2677	2574
2	3	5	0
23	22	29	24
0	0	0	0
12	20	28	12
20	10	15	14
233	251	189	198
0	0	1	1
956	930	894	1002
1113	1017	682	656
5	18	27	19
1808	1647	1890	1506
1062	995	1211	1075
763	705	890	684
218	202	214	179
577	454	373	393
179	205	192	193
17351	15664	14425	12767
154	192	192	208
12	14	14	8
4729	4496	4001	3343
85	125	38	30
431	374	372	335
1883	1789	1421	1699
90	83	52	66
20987	17525	20406	20609
442	411	479	291
392	380	376	408
0	0	0	0
0	0	0	0
6	8	9	7
8	7	4	2
1487	1391	1386	1246
1804	1317	1443	1233
17734	14070	15375	12547
5	3	6	2
18	20	9	12
2	2	3	2
1346	1195	1046	1060
72	55	40	48
842	717	678	434
160	124	114	132
58	49	60	64
2055	1841	1942	1826
0	0	0	0
2123	1869	1428	1691
0	0	0	0
1760	1813	1313	1569
86	70	50	67
87	70	51	67
2	0	1	0
6	14	10	3
1734	1572	2041	1500
2	2	2	2
823	755	723	698
680	729	731	632
475	441	598	426
765	668	978	709
52	66	58	85
99	81	91	84
257	205	318	257
35	15	18	18
35	14	18	14
6	12	2	0
0	4	1	0
0	0	0	0
123	162	151	138
2758	2032	2119	1584
406	262	300	208
64	86	48	75
2471	2384	1847	2494
0	0	4	0
0	1	0	1
0	4	0	2
247	197	192	187
319	292	402	326
20	28	24	17
112551	107250	77294	88754
3013	2862	2808	3073
4241	4059	3766	4383
3	1	4	4
323	322	344	298
21	26	18	18
24	19	25	19
4	3	20	13
14797	12776	15303	13547
755	602	898	726
0	0	0	0
78	71	83	63
876	813	634	710
12	20	24	32
4	2	2	2
0	0	0	0
652	750	623	625
105	123	140	113
958	601	853	526
180	213	213	187
12	2	8	4
28	29	15	18
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2	2	1	0
0	2	0	0
1037	795	893	776
2	7	2	3
8123	7521	9231	8408
0	0	1	0
0	0	0	0
2	0	0	0
0	0	0	0
9	12	6	9
0	0	0	0
266	182	706	640
124	76	218	140
357	366	257	349
1157	962	905	806
8	7	6	4
0	0	0	0
454	366	360	417
194	196	288	219
207	230	296	242
821	692	944	615
387	235	238	133
7	4	5	1
0	2	0	0
345	299	344	346
343	298	344	342
317	245	361	312
156	91	124	92
6359	5713	5189	5383
472	422	324	297
30651	29023	25828	20553
30	24	21	12
112	92	112	66
851	686	856	700
288	251	292	254
48	40	45	27
12	6	5	2
4	3	8	7
857	704	827	632
912	764	735	724
8179	6990	7974	6231
0	2	0	2
20	12	11	4
0	0	0	0
0	8	5	2
8	12	5	4
19141	16986	19984	18906
5	3	2	4
4	2	0	0
12	18	8	9
0	0	1	0
2	0	0	0
790	705	613	753
209	167	231	180
544	523	511	494
166	113	145	113
79	66	49	57
1344	1204	972	1023
117	119	97	93
343	333	243	284
460	486	592	493
16	14	21	15
1323	1080	1587	1094
355	254	404	341
242	203	232	209
4307	3985	4410	3588
46	32	35	35
422	378	513	397
1088	886	1184	924
98	93	136	97
0	0	0	0
1584	1046	1510	808
450	298	428	230
4	10	2	1
6	7	2	1
1	0	0	0
12	12	3	0
4	12	24	10
29	9	30	26
23	15	24	20
2262	2169	2314	1959
653	557	728	568
29	26	20	20
6	4	3	1
1914	1765	1580	1609
3683	3500	2722	2509
895	797	768	804
85	55	55	54
698	594	680	645
373	339	293	290
2982	3045	3064	2720
37	45	61	35
55	66	73	54
1291	1289	1499	1291
358	267	288	291
20	10	18	7
1	0	1	1
0	0	0	0
4	2	0	0
68	36	2	3
224	199	261	225
241	225	221	183
387	346	290	279
0	0	0	0
6594	6447	6425	5624
2224	2048	2384	2994
3	3	1	3
46	30	41	44
1470	1347	1172	1215
0	0	0	0
509	540	517	521
11	4	1	2
0	0	0	0
0	8	31	15
1649	1531	1297	1303
2	8	38	19
549	346	601	367
1	1	1	3
0	0	0	2
0	0	0	0
444	434	526	437
518	495	551	389
36	13	51	22
5333	5093	4548	4572
362	404	408	460
23	21	25	20
2777	2472	2535	2759
723	559	632	498
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1287	1155	746	882
4	2	3	3
218	173	231	163
0	0	4	12
945	863	882	977
261	284	302	239
1213	982	1140	1213
23821	21674	21442	18279
2124	1834	1504	1420
1	0	0	0
825	801	902	652
176	164	193	139
205	156	208	198
3132	2747	3608	2560
158	133	129	121
4899	4221	7080	4748
722	662	868	556
4	0	2	2
4479	3402	3696	3326
246	186	240	201
4	2	0	2
18	4	10	8
11	12	7	12
815	525	638	445
15	13	13	7
30	36	24	21
0	0	0	0
0	0	0	0
0	0	1	1
18081	16388	14868	12680
1132	1062	1010	836
1278	1104	1016	888
0	0	0	0
50	27	71	42
16	14	16	11
12500	10152	12434	9570
3	6	2	1
74	102	24	76
1	1	1	4
1112	1129	1706	2122
0	0	0	0
0	0	0	0
25	22	12	4
0	2	0	0
368	319	417	257
8	8	5	3
839	668	998	787
352	348	364	361
0	0	0	0
0	0	0	0
0	0	0	0
0	3	5	2
0	0	0	0
0	0	1	4
0	2	3	0
5	11	8	14
652	710	670	601
1022	935	840	945
2	4	3	2
33	24	40	37
438	363	561	424
1450	1476	1545	1372
2494	2480	2268	2089
18834	17564	16194	14085
30	15	51	23
2502	2419	2257	2051
2806	2718	2512	2269
22424	19478	20694	19572
1366	1469	1402	1539
24	13	2	3
16	14	8	4
0	0	0	2
0	2	1	1
0	2	0	0
0	0	0	0
2	0	0	1
0	0	0	0
910	680	821	662
3	0	2	0
341	295	322	287
0	0	0	1
2362	2108	2257	2120
2392	2142	2283	2155
1422	1155	1551	1373
2281	2103	2459	1796
6269	5809	5267	4747
3423	3124	3516	3370
3876	3880	3983	3639
495	465	601	537
135	128	157	169
352	352	382	439
1798	1417	1679	1151
477	444	384	348
18489	17907	17827	16301
0	0	0	1
15	21	15	8
1998	1647	1826	2044
17	15	24	14
230	257	334	223
0	1	0	0
6	0	4	2
0	0	0	0
7	10	14	3
1	0	3	0
2523	2247	1888	1769
240	204	221	224
4	0	0	1
5	6	0	0
0	2	2	0
0	0	0	0
0	0	1	0
6215	5484	5387	5381
8	5	7	7
151	146	169	145
40	57	60	38
1904	1626	2057	1735
4	0	3	0
245	182	224	152
2640	2114	2008	1533
1670	1263	2217	1586
2	2	3	0
18	10	31	7
7	9	12	2
1273	1163	1003	887
11398	8385	10940	7493
7	9	3	10
27	27	28	36
841	719	685	543
1	0	0	0
3673	3371	2832	2192
24	56	4	2
3	2	1	0
977	752	1028	762
13	11	7	11
12	10	6	11
8	3	7	5
0	0	0	1
39	20	37	20
70	48	67	60
164	154	239	194
1428	1522	973	1129
380	304	166	136
223	171	102	89
38	14	6	16
1409	1371	1246	1380
2307	2036	2386	1941
520	460	494	368
14	4	2	3
40	45	64	36
10	11	10	14
26	12	14	8
0	0	0	0
0	2	2	2
0	0	0	0
3	0	1	1
52	57	64	66
324	299	428	283
37	32	35	28
11351	10876	9511	10069
188	148	91	88
7	3	5	6
0	10	3	4
0	0	0	0
0	0	0	0
0	1	0	1
304	222	336	257
27	16	34	33
4	2	3	3
2	2	7	4
0	0	0	0
24911	22205	19171	17816
1963	1669	1736	1530
843	656	864	585
1565	1296	1602	1339
653	693	820	605
883	830	889	632
2	0	2	2
2	0	1	0
2	6	4	1
58	45	53	42
2	2	2	3
2574	1908	2264	2070
307	280	308	275
5	10	5	5
0	6	0	4
2	0	1	0
5	8	0	3
0	14	1	1
0	0	0	0
1076	975	905	841
0	2	1	1
2	15	19	16
233	305	294	396
42	23	30	21
97	83	119	80
235	175	234	194
21	13	27	26
7	4	0	0
2	4	3	1
0	0	1	1
26	22	0	0
2	1	2	2
37	6	2	1
33	33	34	45
191	194	267	206
23	18	21	10
0	4	2	7
0	0	0	0
0	0	0	0
1839	1544	2009	1583
30872	28503	25594	27481
445	466	303	311
9	4	2	2
221	253	270	215
1110	972	986	770
213	230	248	236
785	688	598	579
2837	2700	2411	1962
8	4	351	242
657	548	541	386
894	831	1077	819
19400	17775	17790	15773
1	1	0	0
36	43	39	44
19885	17791	17894	14858
1466	1420	1294	1134
0	0	0	2
1397	1134	1166	1160
1275	1289	1055	1145
1816	1616	1928	1445
7	6	7	3
5119	4960	4436	3854
67	39	75	61
219	168	237	170
814	628	630	598
6550	5801	6432	5635
525	400	461	353
1473	1186	1650	1238
1476	1186	1654	1239
249	202	282	216
667	403	413	76
0	4	102	87
38	46	54	37
338	188	224	179
0	0	0	0
1063	1124	1165	1190
72	92	48	53
1063	973	1063	1145
134	50	32	15
0	0	0	0
0	8	0	0
0	0	0	0
0	0	0	0
3248	3087	3134	3386
258	186	288	264
3	0	1	0
0	0	1	0
0	0	0	0
341	333	445	426
6907	6195	5337	6506
985	810	645	759
226	196	253	180
0	0	0	0
1296	1052	1114	894
1322	1143	1292	1017
0	0	1	1
0	0	0	0
10	6	0	0
185	176	179	129
3487	3081	3274	2824
0	0	2	1
2694	2373	2051	1625
284	184	179	130
2	0	1	0
82	61	76	51
410	357	383	356
407	328	443	320
81	58	81	60
11	3	0	2
0	0	0	0
0	0	0	0
0	0	0	2
8	2	5	2
2506	2079	3060	2584
2138	1810	2160	1706
81	77	87	63
1092	1009	1116	864
20	4	20	12
0	0	2	0
2508	1930	1819	1578
670	701	748	575
0	0	1	3
5	1	5	3
180	144	205	140
14	14	20	14
0	0	0	0
5	2	1	2
0	4	0	4
0	0	0	0
3231	3010	3286	3076
4	8	5	1
1318	1286	1052	1154
1367	1156	1469	1430
605	540	566	545
0	4	0	0
1	0	0	0
2	0	0	0
0	0	0	0
3796	3890	3214	3413
5296	4560	3971	5104
3	5	0	3
670	526	585	622
308	246	222	230
2306	2032	2337	2374
0	0	0	0
0	0	0	0
129	117	146	127
133	115	94	149
546	491	511	353
273	202	317	303
12	14	23	18
2	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
10	4	6	2
0	0	0	0
491	394	506	410
0	0	0	0
0	1	2	2
0	0	0	0
2	0	0	0
0	0	1	0
2	2	3	4
15	15	3	16
0	0	0	0
0	0	0	0
1037	935	908	849
0	0	1	1
2	0	0	0
0	0	1	0
0	0	0	0
1370	1280	1106	944
294	313	315	277
11	19	3	8
327	406	289	337
275	186	357	244
166	124	223	140
2235	2086	2135	1740
23	28	24	36
5974	5672	5439	5609
2278	2202	2148	2107
4	0	1	1
265	261	350	316
149	69	81	57
22	39	29	21
0	1	3	1
4277	4021	3579	3626
7	2	6	6
0	0	0	0
673	556	628	591
1905	1576	1284	1300
0	0	0	0
393	286	368	266
27	26	39	31
4331	3857	4847	3845
0	3	5	4
4	7	9	3
806	702	656	532
0	0	0	0
176	151	174	159
138	92	128	111
2279	2001	2066	1593
0	0	0	1
153	137	123	117
9	12	4	3
921	638	892	742
56	51	91	59
246	163	151	132
2915	2690	2559	2661
23	37	33	36
910	722	910	662
2274	2087	2367	1794
0	0	0	0
0	2	0	1
177	134	138	93
9	19	12	11
54	29	60	70
769	748	931	642
1131	945	894	924
3	11	7	9
1656	1515	1719	1387
4	0	0	1
5	2	3	2
8522	8155	7893	10278
0	2	0	0
237	229	181	262
0	0	1	0
0	0	1	0
6	6	3	0
0	0	0	0
0	0	0	0
20	28	12	16
446	383	611	478
328	304	309	300
99	74	57	29
6	7	13	10
2	10	8	0
6	6	2	4
1896	1351	2075	1481
12	9	21	19
10	12	17	13
6580	5664	8035	5626
1658	1474	2032	1522
1517	1202	1593	1179
95	83	113	85
30	9	10	5
288	302	392	343
505	397	468	381
691	540	724	604
5	1	2	1
313	258	335	249
625	615	525	578
425	412	461	522
30699	27506	35122	36763
87	72	86	72
633	660	812	635
1512	1276	1296	1085
425	318	458	379
517	392	530	367
0	0	0	0
13	10	5	1
251	258	284	226
202	201	210	256
502	535	727	593
792	762	811	851
792	761	811	851
10264	9299	9143	9009
2	2	0	2
281	223	253	234
0	0	0	0
4	1	10	7
19077	15408	17649	14536
2	0	4	0
2187	1933	2390	2159
5610	5722	6135	5192
636	500	542	525
24	30	22	14
6	0	3	3
1343	1226	1046	1153
13	15	9	11
0	0	0	0
3	4	5	3
9569	8683	10877	7903
12	18	25	25
26	14	24	19
11	17	18	14
0	0	0	0
0	0	0	0
214	183	146	81
251	316	228	174
43	25	18	24
551	662	815	633
701	500	716	484
502	505	454	383
147	145	161	123
475	414	527	414
0	0	0	2
0	6	0	0
0	0	0	0
8	0	0	2
0	0	0	1
4658	4000	4713	3347
0	0	0	0
8	16	8	11
420	356	386	415
634	633	505	532
0	0	2	1
216	175	222	189
448	422	547	459
2545	2030	1898	2045
123	87	149	148
8	7	14	10
18	21	41	21
584	431	553	401
916	959	976	923
6	17	3	3
4535	3765	4903	3987
139	130	202	160
39	31	40	44
1026	916	1134	944
77	67	92	78
0	0	0	0
3	2	8	22
244	227	271	219
20	20	17	13
4	0	0	1
0	2	0	0
5	8	1	0
22	33	4	8
2	4	0	0
0	1	0	0
6	8	3	4
707	623	988	731
518	360	592	441
5	2	5	3
980	915	1276	914
2	0	0	0
20	50	31	41
24	5	10	5
0	0	1	1
1105	1056	1506	1245
1027	1034	1152	947
639	588	706	556
482	387	587	561
311	224	359	249
99	139	140	114
0	0	0	0
838	891	769	776
0	2	3	0
2	0	0	1
2	0	3	5
0	4	0	0
2	8	9	10
11	0	11	4
0	4	1	1
4	4	4	6
227	217	305	246
2	0	0	0
0	0	0	1
166	132	115	96
554	532	462	536
151	168	128	142
786	760	1019	899
181	241	298	244
34	54	59	44
0	1	8	4
6	16	2	1
2	4	3	1
0	2	1	0
0	0	0	0
3737	3254	3081	3091
872	766	1049	1050
0	2	0	0
3	0	5	2
0	0	0	0
24055	22034	22041	22909
76	62	160	139
3	3	7	5
5285	4921	4575	4874
35	20	26	16
10	0	3	6
331	244	337	275
133	156	173	154
342	301	313	268
759	764	638	583
21920	20143	16781	14761
8	4	2	2
235	178	150	92
637	593	699	597
601	539	558	508
312	306	376	315
3238	2643	3486	2524
588	488	581	418
235	259	321	239
63	65	69	52
7	10	8	7
7	6	19	12
2	5	5	2
260	375	300	276
0	0	0	0
0	0	0	0
1918	1581	1909	1365
0	0	0	0
0	0	0	0
0	2	1	0
57	63	64	60
441	380	502	436
3144	2707	3473	2398
316	344	355	312
459	334	460	395
368	276	365	306
4922	4597	5552	3951
1608	1268	1544	1520
157	113	93	99
197	202	147	157
50	54	28	38
328	310	325	352
1460	1266	1879	1296
10	4	10	4
0	2	0	0
0	0	1	0
4	0	4	7
0	0	0	0
1395	1288	950	989
1215	1110	1033	915
0	0	1	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
18	18	15	9
290	196	244	167
0	0	0	0
1177	1178	935	785
23130	20525	21795	19456
7335	7220	7675	6603
1321	1183	1225	1216
961	797	819	747
796	630	688	599
1398	1327	1336	1322
317	275	195	233
16	4	12	20
1	0	0	0
0	0	0	0
2	0	0	0
17	21	12	6
0	0	0	0
0	0	0	0
0	0	6	1
1345	1184	1017	1098
1345	1184	1017	1098
1345	1184	1017	1098
1345	1184	1017	1098
344	324	241	213
366	359	362	327
307	259	377	289
38	51	80	63
1260	1045	1278	964
1197	970	913	853
2000	1884	1606	1557
116	124	154	130
250	186	411	349
95	68	148	116
0	0	0	0
31	35	42	33
3	1	2	4
0	0	0	0
0	0	0	0
0	0	0	0
5656	4975	3935	4164
1441	1222	980	1029
99	109	95	107
2856	2444	2413	2398
1	0	1	1
641	581	774	668
5	15	13	6
10	18	6	2
149	122	152	149
0	0	1	0
2152	2160	2691	2076
52	61	61	79
51	61	59	78
4	6	14	12
1994	1668	1958	1604
474	356	474	363
390	295	376	283
0	0	0	0
1404	1158	1404	1088
692	564	796	568
12	8	10	8
0	0	0	0
0	0	0	0
0	0	0	0
541	621	670	617
19	22	45	32
6	4	2	2
13	11	9	7
17	14	9	11
23	17	12	18
1	5	2	5
11905	10105	11653	9970
14	21	23	27
0	0	0	0
0	0	0	0
0	0	0	0
0	2	0	0
0	0	0	0
194	137	192	167
2933	2430	2989	2152
14156	12213	13862	11852
0	0	0	0
622	538	717	657
48	36	59	58
514	497	620	510
1133	751	880	1011
0	0	0	0
2	0	0	0
0	0	0	0
116	124	103	70
2	1	2	2
5704	4908	5733	4200
287	260	254	236
1	3	9	5
1	2	4	0
5345	4282	3177	3095
564	629	735	556
1782	1419	1836	1438
12	6	13	12
169	128	195	113
0	0	0	0
753	761	723	568
2867	2332	2485	2381
0	0	0	0
0	0	0	0
179	136	110	108
833	685	716	672
1223	1097	1022	942
239	228	257	235
794	863	710	791
264	202	213	178
2	4	3	0
886	778	868	684
258	273	336	257
14451	12984	13718	9423
126	83	105	112
0	4	0	1
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
386	340	298	173
0	0	0	0
710	555	769	485
127	114	147	81
0	0	0	0
0	0	1	1
2	4	2	5
0	0	0	0
905	647	684	555
188	158	162	214
781	470	400	317
0	0	0	0
182	126	91	69
186	133	91	70
1793	1599	1694	1270
221	275	256	250
308	252	430	332
11	9	14	10
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
8	14	12	15
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
5	21	18	23
0	0	0	0
405	358	483	392
167	152	234	129
468	387	572	413
875	738	909	668
2218	2277	2192	2174
1604	1675	1613	1369
263	216	336	240
2	8	2	1
34	53	41	41
0	0	0	0
2	2	1	0
19	7	17	8
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
3	10	6	13
3	10	6	5
0	0	0	0
2	4	0	0
0	2	1	0
2	2	0	0
8746	8222	9321	7245
100	78	44	18
335	318	446	326
2	0	1	1
0	0	3	0
554	453	553	413
13	0	2	2
509	380	461	396
164	143	141	115
842	920	813	798
385	319	457	353
922	887	843	894
336	245	279	266
336	245	278	266
52	55	68	73
1985	1728	1755	1469
1405	1181	1418	1145
32	19	32	28
313	253	330	274
14	8	13	6
6	16	13	6
0	0	0	0
295	284	372	317
427	388	447	364
461	436	598	414
2651	1695	2215	1484
83	53	55	32
607	475	421	397
1	3	5	3
871	695	1044	811
56	59	75	66
1157	1042	1003	1007
4337	3812	4133	3056
108	119	94	89
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	13	3	0
0	1	0	0
0	0	0	1
0	0	0	0
7	9	2	1
1	0	1	1
2	0	2	0
220	230	173	173
5372	4940	4922	4506
454	440	300	291
423	407	276	270
10	14	6	8
5	6	5	8
0	2	0	0
6	1	3	1
1	1	0	0
0	0	2	0
1376	1086	1273	1108
60	91	70	92
0	4	4	4
2356	2026	3009	2145
1812	1702	1545	1291
1748	1798	1196	1294
95	100	83	79
39	36	45	63
6	8	5	7
0	0	0	0
3144	2932	3253	2662
0	0	0	0
290	208	160	184
4737	4438	3153	3600
442	396	346	348
0	0	0	0
1	2	1	0
214	146	206	102
1022	872	1111	813
4387	4015	3867	4071
22290	20738	21547	19944
3	10	5	7
15	16	8	8
2542	2030	2382	1704
1676	1435	1440	1448
468	407	420	288
2270	2182	2023	1877
1493	1190	1587	964
226	200	281	235
140	140	180	151
91	66	63	74
489	378	417	369
4134	3609	3863	3370
281	239	249	267
117	64	124	66
794	679	763	670
10	12	5	9
231	222	191	152
79	79	60	52
34	37	21	24
3764	3287	3405	3207
7063	6573	5953	5085
6008	5392	4957	4100
524	393	420	276
492	362	376	246
53	66	29	32
55	66	29	33
1314	1291	1410	1252
41	22	32	31
244	237	216	241
467	445	529	469
92	82	79	63
894	788	1056	898
135	117	132	135
4	2	1	5
29	39	38	24
2	7	0	0
0	0	0	0
1369	1219	1317	1166
2684	2583	3016	2648
2095	1713	1845	1739
1867	1542	1664	1573
485	389	428	396
80	81	93	57
41728	40032	37340	28967
45	49	44	35
197	198	186	182
861	806	664	648
2	0	1	0
4	14	4	3
1404	1301	1460	1414
233	257	132	172
1960	1937	2057	1867
301	274	259	249
3373	3099	2635	2964
59	30	30	36
4168	3683	4968	4223
666	558	585	477
275	212	213	257
741	573	923	637
121	83	115	77
19	22	26	14
274	234	228	239
52202	52567	53052	38479
82	62	80	94
9	5	7	5
140	108	112	130
3440	3190	3816	3470
718	592	870	706
146	50	104	59
33	43	21	8
38	32	30	17
2	1	2	0
434	439	571	363
20	18	29	20
40525	37238	40599	36022
168	144	108	154
74	60	50	71
10	11	4	6
492	454	304	374
0	0	0	0
8	2	17	12
20094	17940	20485	18505
8	5	3	4
25	25	42	32
3	3	1	2
795	649	558	577
6	5	4	3
55	86	67	56
853	726	911	744
25	26	20	15
8	11	11	4
3012	2697	2603	2537
212	237	235	209
418	416	431	368
11	11	7	10
0	0	1	0
3596	3140	3640	3307
21	15	11	4
4362	3880	4388	4072
707	559	654	585
285	250	316	204
33	29	44	66
5	2	1	0
2	0	1	1
206	229	307	260
379	338	464	378
37	58	40	35
1414	1436	1164	1030
2584	2476	2147	2371
312	319	281	286
219	190	169	180
0	0	0	1
0	0	0	0
0	0	0	0
2	1	1	1
494	422	503	474
211	198	287	230
0	2	0	0
440	331	457	280
12	16	24	22
2403	2151	1749	1832
101	110	158	140
2378	2120	3201	2418
9	13	16	8
1	1	3	2
120	87	150	160
380	332	465	466
5	0	11	2
1401	1242	1294	1095
5	0	3	5
453	385	445	326
84	111	123	91
5	11	5	7
718	634	633	625
194	179	222	211
393	388	607	422
19	20	25	21
4	6	6	0
6	10	3	6
1673	1717	1805	1501
236	246	309	244
610	531	582	456
17	9	17	21
47	41	35	17
12	11	18	14
5674	4490	6442	4446
100	90	122	68
354	260	392	246
1158	923	924	845
18	26	11	17
133	115	81	112
143	130	100	129
2141	2140	2336	1626
1865	1697	2014	1534
0	8	5	1
22	14	23	11
6	0	0	0
6	4	7	6
271	214	259	193
24	29	1	0
1221	1084	980	1011
0	0	0	0
596	549	480	587
1017	918	825	798
0	0	0	0
284	222	513	404
8	15	20	18
139	135	138	159
1023	973	1014	715
489	487	522	579
801	695	832	670
6	7	2	3
78	69	102	69
52	56	53	35
105	104	106	89
875	720	912	872
0	0	0	1
382	368	605	535
0	0	0	0
8	14	6	2
17	9	21	20
1438	1240	1217	1363
99	51	57	45
7	2	5	1
166	126	196	197
2	0	0	1
119	93	88	101
50	16	63	43
16	7	4	11
0	0	1	1
85	100	52	52
98	125	74	75
165	129	182	158
16	6	11	17
7290	6583	6043	5747
107	72	84	55
0	0	0	0
13	14	27	26
36	28	38	54
12521	10933	12674	9031
0	2	0	0
0	0	0	0
14398	12707	13183	11149
10	30	9	5
8	10	3	0
217	276	307	295
40	28	46	25
5	16	14	6
8	5	2	3
117	102	123	77
7128	6191	4179	4605
1093	903	621	640
12	11	5	4
2263	2228	1665	1737
141	123	124	125
681	713	594	578
40	46	49	44
7811	7263	6703	6087
277	290	320	282
5	2	6	8
1831	1495	1775	1419
0	0	4	2
853	811	717	682
5	7	14	19
1357	1183	1472	962
4102	3893	3773	4185
31	22	25	37
2754	2496	2344	2136
46	41	56	50
2001	1796	1771	1529
1429	1176	1327	1121
2	6	3	4
6	6	4	6
135	126	180	126
218	193	190	141
485	516	499	521
2343	2006	2405	1798
27	32	52	49
27	32	53	49
0	0	0	0
14	19	12	7
131	100	140	103
3231	2817	2962	2743
476	351	475	328
73	60	61	70
56	50	48	55
0	5	0	2
2	0	1	0
96	116	131	142
6	3	4	3
490	500	511	532
294	222	304	282
0	0	0	1
2	2	1	2
49	40	53	36
116	116	166	117
4	4	4	2
911	810	577	711
7	5	7	15
494	470	439	390
485	395	690	466
11	2	4	0
10	5	17	8
1652	1391	1106	1120
8	9	9	7
654	632	624	639
23	12	1	0
25	14	12	8
0	2	0	1
3	2	5	3
40	64	40	22
2	5	5	2
383	352	374	358
360	273	243	278
16455	13902	15996	15265
0	0	0	0
572	482	449	382
0	1	1	0
13	13	10	9
311	294	459	335
8	7	12	8
28	42	14	14
16	14	1	0
5	2	2	8
9	6	1	1
14	14	0	0
19	8	3	3
11	10	21	17
2275	1966	1990	1558
69	51	104	61
260	320	313	225
38	35	58	48
374	305	362	258
28	29	32	27
3387	2938	2874	2590
153	122	206	160
0	0	0	0
75	103	100	78
16	12	24	12
44	57	40	25
535	471	851	570
0	4	6	4
0	2	0	1
383	367	304	311
1719	1264	2233	1629
250	263	309	288
56	17	34	25
621	620	499	453
24916	23467	23710	20900
2	3	0	0
0	0	0	0
139	116	128	122
593	653	509	581
3922	3516	3715	3079
159	111	146	123
287	251	289	265
0	0	0	0
518	497	614	526
5451	4962	4397	4274
3399	3181	3022	2835
34	91	73	42
7609	7188	8018	8836
2323	2059	2300	2483
28	34	35	31
1	0	2	1
3	0	0	1
12	7	5	1
8	6	5	3
29	42	18	20
12434	10938	10946	9898
1678	1390	1960	1412
830	777	634	641
1428	1298	1592	1192
1	0	8	1
0	0	0	0
0	0	0	0
19	22	27	18
2	0	2	0
8	0	0	0
0	0	0	0
13	2	3	7
69	76	29	22
488	429	461	329
488	426	460	328
587	552	533	516
18	16	13	11
490	425	621	413
5382	5266	4341	4755
5956	5564	5160	5912
193	150	138	146
503	386	497	350
320	336	356	343
317	286	267	227
4	7	13	16
11015	10125	9681	8667
866	755	834	726
2	0	0	0
12	8	4	5
0	1	1	1
1	0	0	0
0	0	0	0
0	0	0	0
119	106	138	93
396	326	387	312
393	326	389	308
728	664	689	612
182	123	187	105
2	0	0	3
0	0	0	0
2	0	58	65
475	546	464	611
2177	1840	1967	1649
0	0	0	0
147	121	160	113
0	0	3	0
23498	21785	22444	18379
58	49	86	41
121	134	126	121
55162	47856	52535	51857
96	68	101	97
135	100	128	135
12	11	22	12
0	0	1	0
2	4	2	3
2	2	1	4
0	0	0	0
3	8	7	2
17	24	16	4
0	0	2	2
1	0	3	3
1	0	2	0
5	6	2	4
41	24	40	29
0	0	1	0
0	0	0	0
4	2	3	2
20	14	14	6
22	20	6	4
0	0	0	0
1	0	1	3
2	0	0	0
314	15	73	70
139	8	29	22
0	0	0	0
27	0	3	7
0	0	0	0
0	0	0	0
6	2	2	1
7	0	8	3
6	0	4	3
2	0	0	0
25	0	6	6
48	0	12	11
0	0	0	0
0	0	1	0
10	16	3	1
7	0	10	7
2	0	0	0
0	0	0	0
2	2	1	1
50	43	44	12
6	0	7	3
2	0	1	1
193	81	110	21
0	2	1	1
0	0	0	0
2	1	3	8
392	338	352	294
18	10	23	12
16	21	21	20
0	0	1	0
0	0	1	0
4	0	0	0
518	445	569	423
131	107	118	83
0	0	0	3
0	2	0	0
0	0	1	0
378	298	325	287
2	2	2	1
0	0	0	0
0	0	1	0
0	0	0	0
1773	1442	1624	1300
1	1	1	0
10	4	7	5
0	2	2	1
1084	1019	1169	1040
848	1031	1043	980
5	8	4	5
723	659	746	622
470	427	443	405
3707	3363	3534	3328
186	163	222	162
1455	1413	1144	824
434	355	377	246
1906	1600	2464	1919
0	0	0	0
756	764	647	730
7	5	6	13
215	194	208	250
10043	7907	7982	9155
2376	2133	2148	2014
29943	26396	25752	23966
4	2	61	68
709	722	660	865
621	611	560	704
195	184	254	231
6983	6027	7258	5745
304	322	416	308
394	410	374	373
